Notes;block;trial_num;statement_1;statement_2;statement_3;statement_4;statement_5;true_statements;false_statements;ku_statements;probed_truth_value;n_answers;n_true_answers;n_false_answers;n_ku_answers
;1;11;1 is het tegenovergestelde van 2;2 is het tegenovergestelde van 3;3 is het tegenovergestelde van 4;;;2 is het tegenovergestelde van 1, 3 is het tegenovergestelde van 2, 4 is het tegenovergestelde van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1;2 is hetzelfde als 1, 3 is hetzelfde als 2, 4 is hetzelfde als 3, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;1 is hetzelfde als 5, 1 is het tegenovergestelde van 5 ;WAAR;6;1;5;0
Identical to 11 except for question;1;12;1 is het tegenovergestelde van 2;2 is het tegenovergestelde van 3;3 is het tegenovergestelde van 4;;;2 is het tegenovergestelde van 1, 3 is het tegenovergestelde van 2, 4 is het tegenovergestelde van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1;2 is hetzelfde als 1, 3 is hetzelfde als 2, 4 is hetzelfde als 3, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;1 is hetzelfde als 5, 1 is het tegenovergestelde van 5 ;ONWAAR;6;1;5;0
;1;13;1 is het tegenovergestelde van 2;2 is hetzelfde als 3;3 is het tegenovergestelde van 4;4 is hetzelfde als 5;;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 5 is hetzelfde als 4, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 3 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 3, 2 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 1 is hetzelfde als 5, 5 is hetzelfde als 1;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 5 is het tegenovergestelde van 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1, 1 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 1;1 is hetzelfde als 6, 1 is het tegenovergestelde van 6 ;WAAR;6;2;4;0
Identical to 13 except for question;1;14;1 is het tegenovergestelde van 2;2 is hetzelfde als 3;3 is het tegenovergestelde van 4;4 is hetzelfde als 5;;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 5 is hetzelfde als 4, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 3 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 3, 2 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 1 is hetzelfde als 5, 5 is hetzelfde als 1;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 5 is het tegenovergestelde van 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1, 1 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 1;1 is hetzelfde als 6, 1 is het tegenovergestelde van 6 ;ONWAAR;6;1;5;0
;1;15;1 is hetzelfde als 2;2 is het tegenovergestelde van 3;3 is hetzelfde als 4;4 is het tegenovergestelde van 5;;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 5 is het tegenovergestelde van 4, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 3 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 3, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 5 is hetzelfde als 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 2, 1 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 1;1 is hetzelfde als 6, 1 is het tegenovergestelde van 6 ;WAAR;6;3;3;0
Identical to 15 except for question;1;16;1 is hetzelfde als 2;2 is het tegenovergestelde van 3;3 is hetzelfde als 4;4 is het tegenovergestelde van 5;;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 5 is het tegenovergestelde van 4, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 3 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 3, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 5 is hetzelfde als 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 2, 1 is het tegenovergestelde van 5, 5 is het tegenovergestelde van 1;1 is hetzelfde als 6, 1 is het tegenovergestelde van 6 ;WAAR;6;2;4;0
Same as 1, 2;2;17;1 is hetzelfde als 2;2 is hetzelfde als 3;;;;3 is hetzelfde als 2, 2 is hetzelfde als 1, 1 is hetzelfde als 3, 3 is hetzelfde als 1 ;2 is verschillend van 1, 3 is verschillend van 2, 1 is verschillend van 3, 3 is verschillend van 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;ONWAAR;4;1;3;0
Same as 1, 2, 17;2;18;1 is hetzelfde als 2;2 is hetzelfde als 3;;;;3 is hetzelfde als 2, 2 is hetzelfde als 1, 1 is hetzelfde als 3, 3 is hetzelfde als 1 ;2 is verschillend van 1, 3 is verschillend van 2, 1 is verschillend van 3, 3 is verschillend van 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;WAAR;4;2;2;0
;2;19;1 is hetzelfde als 2;2 is verschillend van 3;;;;2 is hetzelfde als 1, 3 is verschillend van 2, 1 is verschillend van 3, 3 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 1 is hetzelfde als 3, 3 is hetzelfde als 1;1 is hetzelfde als 4, 4 is verschillend van 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;ONWAAR;4;2;2;0
Same as 20;2;20;1 is hetzelfde als 2;2 is verschillend van 3;;;;2 is hetzelfde als 1, 3 is verschillend van 2, 1 is verschillend van 3, 3 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 1 is hetzelfde als 3, 3 is hetzelfde als 1;1 is hetzelfde als 4, 4 is verschillend van 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;WAAR;4;3;1;0
;2;21;1 is verschillend van 2;2 is hetzelfde als 3;;;;2 is verschillend van 1, 3 is hetzelfde als 2, 1 is verschillend van 3, 3 is verschillend van 1;2 is hetzelfde als 1, 3 is verschillend van 2, 1 is hetzelfde als 3, 3 is hetzelfde als 1;1 is hetzelfde als 4, 4 is verschillend van 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;ONWAAR;4;1;3;0
Same as 22;2;22;1 is verschillend van 2;2 is hetzelfde als 3;;;;2 is verschillend van 1, 3 is hetzelfde als 2, 1 is verschillend van 3, 3 is verschillend van 1;2 is hetzelfde als 1, 3 is verschillend van 2, 1 is hetzelfde als 3, 3 is hetzelfde als 1;1 is hetzelfde als 4, 4 is verschillend van 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;WAAR;4;2;2;0
;2;23;1 is hetzelfde als 2;2 is verschillend van 3;3 is hetzelfde als 4;;;2 is hetzelfde als 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 1 is verschillend van 3, 3 is verschillend van 1, 2 is verschillend van 4, 4 is verschillend van 2, 1 is verschillend van 4, 4 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;;ONWAAR;4;2;2;0
Same as 23;2;24;1 is hetzelfde als 2;2 is verschillend van 3;3 is hetzelfde als 4;;;2 is hetzelfde als 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 1 is verschillend van 3, 3 is verschillend van 1, 2 is verschillend van 4, 4 is verschillend van 2, 1 is verschillend van 4, 4 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;;ONWAAR;4;2;2;0
;2;25;1 is hetzelfde als 2;2 is hetzelfde als 3;3 is verschillend van 4;;;2 is hetzelfde als 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is verschillend van 4, 4 is verschillend van 3, 1 is verschillend van 4, 4 is verschillend van 1;2 is verschillend van 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 1 is verschillend van 3, 3 is verschillend van 1, 2 is hetzelfde als 4, 4 is hetzelfde als 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1;;WAAR;6;2;4;0
Same as 25;2;26;1 is hetzelfde als 2;2 is hetzelfde als 3;3 is verschillend van 4;;;2 is hetzelfde als 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is verschillend van 4, 4 is verschillend van 3, 1 is verschillend van 4, 4 is verschillend van 1;2 is verschillend van 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 1 is verschillend van 3, 3 is verschillend van 1, 2 is hetzelfde als 4, 4 is hetzelfde als 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1;;ONWAAR;6;1;5;0
;2;27;1 is hetzelfde als 2;2 is hetzelfde als 3;3 is verschillend van 4;4 is hetzelfde als 5;;2 is hetzelfde als 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 5 is hetzelfde als 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is verschillend van 4, 4 is verschillend van 2, 3 is verschillend van 5, 5 is verschillend van 3, 1 is verschillend van 4, 4 is verschillend van 1, 2 is verschillend van 5, 5 is verschillend van 2, 1 is verschillend van 5, 5 is verschillend van 1;2 is verschillend van 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 5 is verschillend van 4, 1 is verschillend van 3, 3 is verschillend van 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;;ONWAAR;6;1;5;0
Same as 27;2;28;1 is hetzelfde als 2;2 is hetzelfde als 3;3 is verschillend van 4;4 is hetzelfde als 5;;2 is hetzelfde als 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 5 is hetzelfde als 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is verschillend van 4, 4 is verschillend van 2, 3 is verschillend van 5, 5 is verschillend van 3, 1 is verschillend van 4, 4 is verschillend van 1, 2 is verschillend van 5, 5 is verschillend van 2, 1 is verschillend van 5, 5 is verschillend van 1;2 is verschillend van 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 5 is verschillend van 4, 1 is verschillend van 3, 3 is verschillend van 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;;WAAR;6;1;5;0
;2;29;1 is hetzelfde als 2;2 is verschillend van 3;3 is hetzelfde als 4;4 is hetzelfde als 5;;2 is hetzelfde als 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 5 is hetzelfde als 4, 1 is verschillend van 3, 3 is verschillend van 1, 2 is verschillend van 4, 4 is verschillend van 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is verschillend van 4, 4 is verschillend van 1, 2 is verschillend van 5, 5 is verschillend van 2, 1 is verschillend van 5, 5 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 5 is verschillend van 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is verschillend van 5, 5 is verschillend van 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;;ONWAAR;6;1;5;0
Same as 29;2;30;1 is hetzelfde als 2;2 is verschillend van 3;3 is hetzelfde als 4;4 is hetzelfde als 5;;2 is hetzelfde als 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 5 is hetzelfde als 4, 1 is verschillend van 3, 3 is verschillend van 1, 2 is verschillend van 4, 4 is verschillend van 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is verschillend van 4, 4 is verschillend van 1, 2 is verschillend van 5, 5 is verschillend van 2, 1 is verschillend van 5, 5 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 5 is verschillend van 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is verschillend van 5, 5 is verschillend van 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;;ONWAAR;6;3;3;0
Same as 29;2;31;1 is hetzelfde als 2;2 is verschillend van 3;3 is hetzelfde als 4;4 is hetzelfde als 5;;2 is hetzelfde als 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 5 is hetzelfde als 4, 1 is verschillend van 3, 3 is verschillend van 1, 2 is verschillend van 4, 4 is verschillend van 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is verschillend van 4, 4 is verschillend van 1, 2 is verschillend van 5, 5 is verschillend van 2, 1 is verschillend van 5, 5 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 5 is verschillend van 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is verschillend van 5, 5 is verschillend van 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;;WAAR;6;3;3;0
Same as 29;2;32;1 is hetzelfde als 2;2 is verschillend van 3;3 is hetzelfde als 4;4 is hetzelfde als 5;;2 is hetzelfde als 1, 3 is verschillend van 2, 4 is hetzelfde als 3, 5 is hetzelfde als 4, 1 is verschillend van 3, 3 is verschillend van 1, 2 is verschillend van 4, 4 is verschillend van 2, 3 is hetzelfde als 5, 5 is hetzelfde als 3, 1 is verschillend van 4, 4 is verschillend van 1, 2 is verschillend van 5, 5 is verschillend van 2, 1 is verschillend van 5, 5 is verschillend van 1;2 is verschillend van 1, 3 is hetzelfde als 2, 4 is verschillend van 3, 5 is verschillend van 4, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 3 is verschillend van 5, 5 is verschillend van 3, 1 is hetzelfde als 4, 4 is hetzelfde als 1, 2 is hetzelfde als 5, 5 is hetzelfde als 2, 1 is hetzelfde als 5, 5 is hetzelfde als 1;;ONWAAR;6;3;3;0
;3;33;1 is meer dan 2;2 is meer dan 3;;;;2 is minder dan 1, 3 is minder dan 2, 1 is meer dan 3, 3 is minder dan 1;2 is meer dan 1, 3 is meer dan 2, 1 is minder dan 3, 3 is meer dan 1;;ONWAAR;4;2;2;0
;3;34;1 is meer dan 2;3 is meer dan 2;;;;2 is minder dan 1, 2 is minder dan 3;2 is meer dan 1, 2 is meer dan 3;1 is meer dan 3, 3 is minder dan 1, 1 is minder dan 3, 3 is meer dan 1;WAAR;4;2;2;0
;3;35;1 is meer dan 2;3 is minder dan 2;;;;2 is minder dan 1, 2 is meer dan 3;2 is meer dan 1, 2 is minder dan 3;;ONWAAR;4;2;2;0
;3;36;1 is meer dan 2;2 is minder dan 3;;;;2 is minder dan 1, 3 is meer dan 2;2 is meer dan 1, 3 is minder dan 2;1 is meer dan 3, 3 is meer dan 1, 1 is minder dan 3, 3 is minder dan 1;ONWAAR;4;2;2;0
;3;37;1 is minder dan 2;2 is minder dan 3;;;;2 is meer dan 1, 3 is meer dan 2, 3 is meer dan 1, 1 is minder dan 3;2 is minder dan 1, 3 is minder dan 2, 3 is minder dan 1, 1 is meer dan 3;;WAAR;4;3;1;0
Same as 37;3;38;1 is minder dan 2;2 is minder dan 3;;;;2 is meer dan 1, 3 is meer dan 2, 3 is meer dan 1, 1 is minder dan 3;2 is minder dan 1, 3 is minder dan 2, 3 is minder dan 1, 1 is meer dan 3;;ONWAAR;4;2;2;0
;3;39;1 is meer dan 2;3 is minder dan 2;3 is meer dan 4;;;2 is minder dan 1, 2 is meer dan 3, 4 is minder dan 3, 1 is meer dan 3, 3 is minder dan 1, 2 is meer dan 4, 4 is minder dan 2, 1 is meer dan 4, 4 is minder dan 1;2 is meer dan 1, 2 is minder dan 3, 4 is meer dan 3, 1 is minder dan 3, 3 is meer dan 1, 2 is minder dan 4, 4 is meer dan 2, 1 is minder dan 4, 4 is meer dan 1;;ONWAAR;4;1;3;0
Same as 39;3;40;1 is meer dan 2;3 is minder dan 2;3 is meer dan 4;;;2 is minder dan 1, 2 is meer dan 3, 4 is minder dan 3, 1 is meer dan 3, 3 is minder dan 1, 2 is meer dan 4, 4 is minder dan 2, 1 is meer dan 4, 4 is minder dan 1;2 is meer dan 1, 2 is minder dan 3, 4 is meer dan 3, 1 is minder dan 3, 3 is meer dan 1, 2 is minder dan 4, 4 is meer dan 2, 1 is minder dan 4, 4 is meer dan 1;;WAAR;4;1;3;0
;3;41;1 is minder dan 2;3 is meer dan 2;4 is meer dan 3;;;2 is meer dan 1, 2 is minder dan 3, 3 is minder dan 4, 3 is meer dan 1, 1 is minder dan 3, 2 is minder dan 4, 4 is meer dan 2, 1 is minder dan 4, 4 is meer dan 1;2 is minder dan 1, 2 is meer dan 3, 3 is meer dan 4, 3 is minder dan 1, 1 is meer dan 3, 2 is meer dan 4, 4 is minder dan 2, 1 is meer dan 4, 4 is minder dan 1;;ONWAAR;6;1;5;0
Same as 41;3;42;1 is minder dan 2;3 is meer dan 2;4 is meer dan 3;;;2 is meer dan 1, 2 is minder dan 3, 3 is minder dan 4, 1 is minder dan 3, 3 is meer dan 1, 2 is minder dan 4, 4 is meer dan 2, 1 is minder dan 4, 4 is meer dan 1;2 is minder dan 1, 2 is meer dan 3, 3 is meer dan 4, 1 is meer dan 3, 3 is minder dan 1, 2 is meer dan 4, 4 is minder dan 2, 1 is meer dan 4, 4 is minder dan 1;;ONWAAR;6;1;5;0
;3;43;1 is minder dan 2;2 is minder dan 3;3 is minder dan 4;;;2 is meer dan 1, 3 is meer dan 2, 4 is meer dan 3, 1 is minder dan 3, 3 is meer dan 1, 2 is minder dan 4, 4 is meer dan 2, 1 is minder dan 4, 4 is meer dan 1;2 is minder dan 1, 3 is minder dan 2, 4 is minder dan 3, 1 is meer dan 3, 3 is minder dan 1, 2 is meer dan 4, 4 is minder dan 2, 1 is meer dan 4, 4 is minder dan 1;;WAAR;6;2;4;0
Same as 43;3;44;1 is minder dan 2;2 is minder dan 3;3 is minder dan 4;;;2 is meer dan 1, 3 is meer dan 2, 4 is meer dan 3, 1 is minder dan 3, 3 is meer dan 1, 2 is minder dan 4, 4 is meer dan 2, 1 is minder dan 4, 4 is meer dan 1;2 is minder dan 1, 3 is minder dan 2, 4 is minder dan 3, 1 is meer dan 3, 3 is minder dan 1, 2 is meer dan 4, 4 is minder dan 2, 1 is meer dan 4, 4 is minder dan 1;;ONWAAR;6;2;4;0
